"","Title","ID","Gender","Identity","IQ","MedDept","Success"
"51","70b80466","34a448d0","Male","No Dual",90,"69331",FALSE
"52","5f5cb01f","39ddd369","Male","Secret",94,"96035",TRUE
"53","548d1e50","6307048e","Male","Secret",90,"73899",TRUE
"54","c93f19fe","86c918db","Male","No Dual",109,"24632",FALSE
"55","c0c6ccd1","c35e3091","Male","Public",87,"86119",TRUE
"56","614f2879","5400a4b8","Female","Secret",99,"73899",TRUE
"57","59bad5b1","fa7ea4aa","Male","Secret",112,"50588",FALSE
"58","d0ff49cc","d5c583dd","Male","Secret",76,"96035",TRUE
"59","863ad5fc","9aec87fa","Male","No Dual",101,"75835",FALSE
"60","34d20e31","a1885372","Male","Secret",92,"96035",TRUE
"61","183ca98b","528c2408","Male","Secret",112,"69764",TRUE
"62","85079d1c","8d3b4da6","Male","Secret",99,"50842",TRUE
"63","c148201e","cc8811f","Male","Secret",93,"69331",TRUE
"64","e22f2384","9c952e1d","Male","No Dual",118,"20439",TRUE
"65","c154b118","cdc3de4a","Male","Secret",86,"50842",TRUE
"66","e2b7dad7","74157262","Male","Secret",109,"86119",TRUE
"67","f245bf79","40ad11c9","Male","No Dual",116,"76501",TRUE
"68","27944159","7742656d","Male","No Dual",104,"20398",FALSE
"69","db61c868","a64dba2b","Male","Secret",95,"39943",TRUE
"70","fb76edda","b20103d7","Male","Public",119,"73899",TRUE
"71","ecb7f5fe","e50bbb5f","Male",NA,106,"69764",TRUE
"72","979f004c","b65bc1d4","Male","No Dual",116,"75835",TRUE
"73","e9c43948","29f1eae6","Male","Secret",105,"76501",TRUE
"74","77893036","ab12bb76","Male","Secret",97,"54589",TRUE
"75","559281c0","173d5917","Male","Secret",122,"20398",TRUE
"76","a3510485","c96ecda2","Male","Public",100,"39943",FALSE
"77","2e739ba6","35357f76","Female","Secret",114,"23483",TRUE
"78","3a6a68fc","237f19da","Male","No Dual",100,"73899",TRUE
"79","9cf26399","5b2d3654","Male",NA,89,"69331",TRUE
"80","eee8054d","aa1c9cc2","Male","No Dual",116,"73899",TRUE
"81","986b607a","fd2c8d6f","Male","Public",106,"86119",TRUE
"82","e836253f","a5eb6b74","Male","Secret",108,"11708",TRUE
"83","dce9042f","637e0207","Male","No Dual",92,"73899",TRUE
"84","86a1efbe","f5b12dab","Male","Secret",106,"69331",TRUE
"85","3f197e54","e510b050","Male","Secret",89,"23483",TRUE
"86","b381048a","b848b509","Female","Secret",86,"96633",FALSE
"87","a40deab0","47e66a5c","Male","Secret",111,"20439",TRUE
"88","e4db18ef","b706950f","Female","No Dual",97,"11708",TRUE
"89","5e256ccb","df52e996","Male",NA,105,"19550",FALSE
"90","62e0e39c","c62a6fbf","Male","Secret",98,"23483",TRUE
"91","2daf0f0c","37dd8e66","Male","Secret",94,"20439",TRUE
"92","3a62da8e","e9f267cd","Male","No Dual",95,"74627",TRUE
"93","99a1f335","81e6408","Male",NA,97,"11708",TRUE
"94","edde2e21","bc9125b1","Male","No Dual",99,"24632",TRUE
"95","a25f8bb4","55133e1f","Male","Public",108,"74627",FALSE
"96","4940a342","f07195ff","Male","No Dual",116,"39943",FALSE
"97","127e7541","667a3ab4","Female","Secret",86,"76501",TRUE
"98","e372cd21","74963a9b","Female",NA,107,"75835",TRUE
"99","4717015","ba19d8f1","Female","Secret",90,"50588",TRUE
"100","e16fbeb9","eb951a9e","Male","No Dual",91,"86119",TRUE
"101","fc710187","9bf736e0","Male","No Dual",90,"19550",TRUE
"102","58f557f2","54f0a6c8","Male","Secret",103,"54589",TRUE
"103","edee7f28","4dac5c29","Male","Public",96,"20439",TRUE
"104","ef07578f","830ad59","Female","No Dual",99,"50588",TRUE
"105","a9617e64","cc221e2c","Male","Secret",105,"75835",TRUE
"106","bcfacae2","95463e8f","Female","No Dual",84,"75835",TRUE
"107","ebff0629","d4f9d4e6","Male","No Dual",87,"76501",TRUE
"108","53475592","b8ee5bcc","Male","Secret",102,"76501",TRUE
"109","f1b85466","c8a57106","Male",NA,107,"39943",TRUE
"110","78893870","9f1e3a9b","Female","Secret",101,"73899",TRUE
"111","f9c23d92","7b6e32d9","Female","No Dual",98,"39943",TRUE
"112","dea3be1f","3c8daa5f","Male",NA,91,"24632",TRUE
"113","84e4c643","6f85e876","Male","Secret",116,"13873",TRUE
"114","3933b616","d73200e0","Male","No Dual",103,"11708",TRUE
"115","8b77f736","f03d5128","Male","Secret",114,"69764",TRUE
"116","77f840dd","9d168939","Female",NA,99,"23483",TRUE
"117","b2a7c7ad","87ff9153","Male","Secret",85,"69331",TRUE
"118","32a0791a","e6da1a7d","Male","Secret",91,"73899",TRUE
"119","cf505502","ca794ca1","Female","No Dual",104,"76501",TRUE
"120","55c5d411","d029c107","Female","Secret",90,"96633",TRUE
"121","77a61947","3c12712e","Male","No Dual",113,"76501",FALSE
"122","149ebfa","d5c7bef4","Male","Secret",93,"23483",TRUE
"123","614b4306","9e5d6cb0","Male","Secret",108,"24632",TRUE
"124","3e609887","e2ca39e8","Male","Secret",89,"50588",TRUE
"125","6135ee4c","31b11d3a","Male","Secret",93,"24632",TRUE
"126","23efd056","172bfbef","Male","Secret",93,"20398",TRUE
"127","75f0648d","93ed6412","Male","No Dual",102,"96035",TRUE
"128","e09ddf30","ffff0d40","Male","No Dual",84,"20398",TRUE
"129","3a043328","5353cc5a","Male","Secret",118,"39943",TRUE
"130","c235c8a3","1af32c60","Male","Secret",90,"69764",TRUE
"131","d85ab83a","ab10865f","Male","No Dual",93,"69331",TRUE
"132","ebd9f19c","77e4f20a","Male","Secret",112,"76501",TRUE
"133","e614eadb","1e9b6d51","Male","Secret",85,"96035",TRUE
"134","cf0b643c","598bb64b","Male","Secret",106,"19550",TRUE
"135","cc063eb8","682f2c05","Male","Secret",94,"96035",TRUE
"136","984912d5","e821f756","Male","Secret",126,"74627",TRUE
"137","fc5b8bfa","2f7377cc","Male","No Dual",96,"20398",TRUE
"138","60fda76e","850a2f47","Male","No Dual",110,"20398",TRUE
"139","3a674b25","b8ec66e5","Male","Secret",106,"69331",TRUE
"140","800db419","530f4d37","Female","No Dual",92,"96035",TRUE
"141","8e765a06","604c55fa","Male","Secret",105,"50588",TRUE
"142","ef98dc1e","85e6b39","Male",NA,123,"50842",TRUE
"143","73702ee6","a5e9565d","Male","Secret",96,"23483",TRUE
"144","afb12cf0","59c27147","Male","Secret",101,"23483",TRUE
"145","9525e44c","58b1b7b7","Male","Secret",129,"69331",TRUE
"146","d4c6f89","5305f364","Female",NA,91,"96633",TRUE
"147","80b66dff","f51c056e","Male","No Dual",104,"76501",TRUE
"148","8237d6c0","8577d405","Male",NA,99,"73899",TRUE
"149","2e0c07c3","ea803c01","Male","No Dual",105,"54589",TRUE
"150","c1976ece","b90638bd","Male",NA,96,"24632",TRUE
"151","dd21ae2d","c5bb2d2b","Male","Secret",84,"50842",TRUE
"152","5630e3ec","e8d31db8","Male","No Dual",97,"69764",TRUE
"153","bea8059a","4e9bf7aa","Male","No Dual",112,"50588",TRUE
"154","3a0df526","7f0ad324","Male",NA,107,"69764",TRUE
"155","69b85db9","8cdb75a8","Male",NA,100,"24632",TRUE
"156","9585fdfb","9c6657b1","Male","Public",121,"13873",TRUE
"157","134e3c2d","89047c78","Male","No Dual",88,"54589",TRUE
"158","3745d627","fec6bc03","Female","No Dual",107,"76501",TRUE
"159","1112cf2f","3966d677","Female",NA,98,"54589",TRUE
"160","36c41f9a","67abb730","Female","Secret",95,"13873",TRUE
"161","9c1e5201","ef2fb8f7","Male","Public",95,"19550",TRUE
"162","43ad4705","c63b5e4e","Male","Secret",94,"11708",TRUE
"163","2a3632c2","cbb2f639","Female","No Dual",92,"23483",TRUE
"164","91fa1b34","238fce1d","Male",NA,101,"76501",TRUE
"165","8cd8da73","7c9322de","Male","Secret",117,"13873",TRUE
"166","3901b90a","a70bbbfd","Male","No Dual",81,"50588",TRUE
"167","81ff43b0","4804be57","Male","Secret",93,"50588",TRUE
"168","6d72d1ef","87ee78e3","Male","No Dual",120,"76501",TRUE
"169","a7c52b84","eb4d158f","Female","Secret",113,"54589",TRUE
"170","c13f3f4d","2d18ee57","Male","No Dual",110,"69331",TRUE
"171","7adb1e08","91b2f2d3","Male","No Dual",103,"50842",TRUE
"172","73843672","85d9b0da","Male","No Dual",115,"73899",TRUE
"173","39d285bf","536b81bd","Male","No Dual",105,"69331",TRUE
"174","6395207e","a4018603","Male","Secret",82,"39943",TRUE
"175","b26e1f29","abb625fe","Male","No Dual",115,"19550",TRUE
"176","94268591","ba853f1c","Male","No Dual",89,"74627",FALSE
"177","b9b97b0a","3b071758","Male","Secret",101,"96633",TRUE
"178","b2a0314b","f37b7bce","Female",NA,97,"20439",TRUE
"179","9b3d7870","ef5d6178","Male","No Dual",102,"75835",FALSE
"180","2f2967ee","2cc8ba27","Male","No Dual",120,"13873",TRUE
"181","e625607a","99f40d26","Male",NA,107,"39943",FALSE
"182","f9658f7c","2b8ad020","Male","Secret",99,"24632",TRUE
"183","78b36eaf","bfe35b77","Male",NA,102,"54589",TRUE
"184","1ee2b69","60946409","Male",NA,100,"74627",TRUE
"185","52149526","4ae8d0c6","Male","Secret",99,"69764",TRUE
"186","57b0155c","9ed35aa3","Male",NA,105,"69764",TRUE
"187","29c64634","ebdb579d","Male","No Dual",117,"23483",TRUE
"188","7d5c55ed","41377198","Male",NA,102,"69764",TRUE
"189","b1eaf676","f50a88b8","Male",NA,95,"69331",TRUE
"190","a3bca088","9814c147","Female","Secret",90,"11708",TRUE
"191","6ce4ac2d","38712694","Female","Secret",111,"86119",TRUE
"192","b97ba268","164883d2","Male","Public",99,"11708",TRUE
"193","fa8b4d1e","8a9a744f","Male",NA,95,"13873",TRUE
"194","a78bd660","b6c72341","Male","No Dual",95,"86119",TRUE
"195","ba8e286a","49224811","Male","No Dual",99,"76501",TRUE
"196","75884861","f0f90860","Male","No Dual",92,"69331",TRUE
"197","c11d610d","3e777be2","Male","No Dual",110,"11708",TRUE
"198","e20fcddc","cf3b1bcc","Male",NA,100,"20439",TRUE
"199","bd1a7f97","b023d9a9","Female",NA,95,"20398",TRUE
"200","8468b4ec","8cafb56a","Male","Secret",92,"54589",TRUE
"201","cdc442d9","a496516f","Male",NA,88,"54589",TRUE
"202","8363157c","d8786e02","Male",NA,116,"76501",TRUE
"203","b9ca2a9c","87263d14","Male","No Dual",115,"69331",TRUE
"204","a4cf42e5","305fd54","Male","Secret",115,"24632",TRUE
"205","8de9c0d2","e527790f","Female","No Dual",107,"20439",TRUE
"206","538911c3","6a2e8f9f","Male","No Dual",103,"69331",FALSE
"207","ad0db680","b9bd6a85","Female",NA,84,"73899",TRUE
"208","ff112b5a","878ee08b","Female","Secret",113,"20439",TRUE
"209","bb5022b6","83147264","Female",NA,103,"96633",TRUE
"210","ff5fc599","b2296ffc","Female","Secret",96,"13873",TRUE
"211","f464a176","e6d82754","Male","Secret",111,"19550",FALSE
"212","44a6ef72","ba65b6cd","Male","Secret",120,"11708",FALSE
"213","ea839006","be50bf03","Male","Secret",118,"50588",TRUE
"214","f476454d","5d69ac5","Male",NA,102,"39943",TRUE
"215","5f6e20fc","11f7dd17","Male","Secret",104,"39943",TRUE
"216","6b6eee28","605ae764","Male","No Dual",115,"69764",TRUE
"217","84e4a399","92e3e98f","Male","Secret",107,"19550",TRUE
"218","ab5807c2","2b20665e","Male","Secret",105,"96035",TRUE
"219","272ab072","90794b0f","Male",NA,108,"69764",TRUE
"220","66559cac","65b20dbd","Male","Secret",96,"50842",TRUE
"221","e417af62","b33d1988","Male","Secret",97,"75835",TRUE
"222","d7d5346f","531a0b56","Male",NA,93,"69764",TRUE
"223","e6578927","4d9cf6c2","Female","Public",108,"19550",TRUE
"224","2aee569e","7b0a8ed5","Male","No Dual",92,"20439",TRUE
"225","dd95ad0f","755becf4","Male","No Dual",82,"75835",TRUE
"226","ee59990a","6481d9ec","Male","Secret",95,"69764",TRUE
"227","d0d81cde","6c561dfd","Male",NA,92,"69764",TRUE
"228","5293898","726271a6","Male",NA,85,"96035",TRUE
"229","94b3e620","c125684","Male","Secret",137,"54589",TRUE
"230","d2c5f78b","2d2789f6","Female","No Dual",103,"23483",FALSE
"231","5ebc41db","437ec59a","Male","Public",103,"20398",TRUE
"232","a8565027","a0aab696","Male","Secret",98,"20398",TRUE
"233","f8ca357d","9a4ecab2","Male","Secret",104,"13873",TRUE
"234","50e6d641","36ddd7ec","Male","Secret",97,"50588",TRUE
"235","372cd5c3","ad40441a","Male",NA,117,"13873",TRUE
"236","2139b4be","d0c4d3db","Male","No Dual",111,"74627",TRUE
"237","24446c9","a2ecb57","Male","Public",91,"11708",TRUE
"238","ab80b5af","950c2998","Male",NA,100,"50842",TRUE
"239","7337cb42","7fd22fcc","Female",NA,105,"54589",TRUE
"240","499bcafd","f9d98f73","Male","No Dual",92,"23483",TRUE
"241","ee3576c5","eebd7e92","Male","No Dual",112,"86119",TRUE
"242","ccc158c6","22055da1","Male",NA,96,"69764",TRUE
"243","87cdcf88","2d9f5ff3","Male","No Dual",99,"20398",TRUE
"244","f6102066","a0ea3b72","Male",NA,83,"39943",TRUE
"245","7f6b3df2","61e0a007","Female","No Dual",106,"11708",FALSE
"246","a705389c","71029b30","Female","No Dual",112,"20398",TRUE
"247","1fdbe482","9997d070","Male","Secret",97,"54589",TRUE
"248","1ff8f785","e506cd3b","Female","No Dual",106,"75835",TRUE
"249","e74ea40a","8bd83d05","Female","Public",106,"20439",TRUE
"250","e541dff4","fd3c1cc8","Female","No Dual",84,"96633",TRUE
"251","c5f49fc6","8d62b75c","Male","Secret",96,"74627",TRUE
"252","14f712c7","5daa1c58","Female",NA,115,"11708",TRUE
"253","6bf92eef","469fff96","Female","No Dual",105,"86119",TRUE
"254","193fd36e","d0562e3a","Male","No Dual",112,"19550",TRUE
"255","f58177d7","586cc8bf","Female","No Dual",105,"74627",FALSE
"256","d5dd6f54","2eb37f44","Female","No Dual",93,"24632",TRUE
"257","49d5a421","903d95db","Male","Public",118,"76501",TRUE
"258","62d1e7ea","1e19cde2","Female","No Dual",103,"20398",TRUE
"259","6f01ff0c","4fc07fa9","Female","No Dual",113,"20398",TRUE
"260","6d25b947","6be52def","Female","Secret",92,"75835",TRUE
"261","4415d2f3","eb77c22","Male","Secret",108,"75835",FALSE
"262","4c9a7411","b75f5153","Male","No Dual",84,"50588",TRUE
"263","a8b15a4b","9c81d6ba","Female","No Dual",99,"75835",TRUE
"264","958d407f","28875ee1","Female","No Dual",111,"20398",TRUE
"265","ab16ee27","db04b455","Female",NA,94,"76501",FALSE
"266","45dbb538","34c12d28","Female","No Dual",101,"75835",TRUE
"267","e9b0a27a","c48e90f5","Female","No Dual",94,"20398",TRUE
"268","d0f22b10","cea15f3d","Male","No Dual",116,"96633",TRUE
"269","e3bbad6d","d580f695","Female",NA,99,"24632",TRUE
"270","fd66bef","93de1930","Male","No Dual",104,"23483",TRUE
"271","830a698f","1062bd53","Male","No Dual",108,"54589",TRUE
"272","aedac5c3","8167a6ce","Male","No Dual",111,"54589",TRUE
"273","196b0e53","83a5556c","Male","Secret",95,"11708",TRUE
"274","2d92be24","778e5172","Male",NA,102,"50842",TRUE
"275","7f858065","8d800980","Female","No Dual",88,"39943",TRUE
"276","ccbad0f1","6fbf3bf1","Female","No Dual",97,"96633",TRUE
"277","bc483af3","69d3b961","Female","No Dual",104,"20398",TRUE
"278","5b048aff","6472b1c8","Male","Secret",76,"24632",FALSE
"279","88bc44a1","bc1116d0","Male","No Dual",117,"23483",TRUE
"280","a0818768","a9633d49","Male","No Dual",98,"96035",TRUE
"281","8620cfa4","d9dea9cb","Female",NA,106,"75835",TRUE
"282","31a7b0ca","339d5b4f","Female",NA,114,"96633",TRUE
"283","7d974021","c2befe1e","Male","No Dual",98,"54589",TRUE
"284","f3337d77","167f105d","Male","No Dual",107,"73899",TRUE
"285","35ef5da1","1b612d7e","Male","No Dual",104,"76501",TRUE
"286","e8f36d7a","2a68dc23","Female",NA,85,"50842",TRUE
"287","336d6792","cce69197","Male","Public",87,"20398",TRUE
"288","49b3d223","e428754","Male","No Dual",107,"13873",TRUE
"289","25c4836e","c2e68312","Female","No Dual",107,"50588",TRUE
"290","cfb19d6d","96d4bc22","Female","No Dual",92,"54589",FALSE
"291","e3d785c6","a1b6dcdd","Male","No Dual",97,"75835",TRUE
"292","21baee5b","66ad5ede","Female","No Dual",118,"50588",TRUE
"293","45c58573","cbfe7238","Male","No Dual",102,"76501",TRUE
"294","f84d7139","e122bd18","Female","Secret",108,"73899",TRUE
"295","56dbe2e9","384dd316","Male","No Dual",97,"54589",TRUE
"296","1559667e","7147367d","Male",NA,96,"76501",TRUE
"297","f55a5663","c7ddc2d4","Female","No Dual",90,"76501",TRUE
"298","9c9c82e","a71ed560","Male","Secret",88,"76501",TRUE
"299","1605b3e","d90f3d57","Female","No Dual",95,"74627",TRUE
"300","a8ec326","1911d056","Female","Secret",101,"13873",TRUE
"301","e1582641","1b7acb5c","Female","Public",82,"23483",TRUE
"302","c5ef4b58","488515be","Male",NA,87,"50842",TRUE
"303","535aca49","e9f5f83","Female","No Dual",94,"69331",TRUE
"304","bb3e6b03","89fae77b","Female","No Dual",99,"13873",TRUE
"305","4432673a","1c6cd6b2","Female","Secret",92,"69764",TRUE
"306","44d469d3","38e895c0","Male","No Dual",104,"75835",TRUE
"307","63d9bb71","c60ae2e0","Male","Secret",113,"76501",TRUE
"308","cd645447","f4b6fcc0","Female","Secret",105,"13873",TRUE
"309","db76a153","3da8dd5c","Female","Secret",99,"50588",TRUE
"310","e36f25ce","9228a422","Male",NA,102,"19550",TRUE
"311","86d52bcf","fdee2a27","Male","No Dual",102,"76501",TRUE
"312","eced9def","66b22e1d","Male","Secret",110,"86119",TRUE
"313","e7cf929d","8251c049","Female","Secret",111,"39943",TRUE
"314","484d78cc","53f67783","Female","Secret",111,"20398",TRUE
"315","574f50fb","f7d344d3","Female","No Dual",85,"39943",TRUE
"316","ff0018eb","e105362f","Female","Public",99,"23483",TRUE
"317","6be88fe5","92b36143","Female","Secret",104,"74627",TRUE
"318","13021310","478d57d4","Male","Secret",79,"20439",TRUE
"319","36b1fb2a","69a62948","Male","No Dual",87,"96633",TRUE
"320","e02c8f89","d0c22f35","Female","No Dual",109,"50588",TRUE
"321","525e6e1d","16f9dfd2","Female","No Dual",99,"20439",TRUE
"322","8975d218","89a023b7","Male","Secret",98,"20439",TRUE
"323","f8c05db8","f572f8d0","Female","Secret",120,"23483",TRUE
"324","38786b81","c85e4879","Female","Secret",110,"24632",TRUE
"325","61a7015f","66e8f7","Female","Public",82,"50842",TRUE
"326","fba8e4b","5cdfc737","Male",NA,104,"54589",TRUE
"327","df776650","30b0600f","Female","Secret",96,"20439",TRUE
"328","6c0d2200","c2052341","Female","No Dual",92,"23483",TRUE
"329","c7e749ff","a7833338","Male",NA,112,"86119",TRUE
"330","8f0542de","f129a25b","Male",NA,115,"96035",TRUE
"331","922fd7bd","23af0af4","Female","Secret",107,"24632",TRUE
"332","36168821","75502d26","Male",NA,94,"69331",TRUE
"333","33c40c65","1579a77d","Female","Secret",112,"50842",TRUE
"334","67b527d8","894a0081","Female",NA,67,"23483",TRUE
"335","e03cf6a6","58611064","Female","No Dual",101,"11708",TRUE
"336","b55f7579","6a5fabcb","Male","Secret",109,"75835",TRUE
"337","6f0ab133","445afae1","Female","Secret",100,"96035",TRUE
"338","d7bc95a9","c93df595","Female","No Dual",94,"76501",TRUE
"339","314ba3e7","2901124b","Male","No Dual",88,"76501",TRUE
"340","c7ad2ac","23cdc8c3","Male","No Dual",88,"96035",TRUE
"341","2f27227a","b1885b10","Male","No Dual",108,"86119",TRUE
"342","c86ef7fc","2cb4067e","Male",NA,113,"50588",TRUE
"343","a976d646","52c07414","Female","No Dual",129,"50588",TRUE
"344","9be2d92d","aff74ac3","Male","Secret",104,"50842",TRUE
"345","335b1a07","4bfdce87","Male","Secret",91,"24632",FALSE
"346","a20c586d","b59b9964","Male","Secret",90,"50842",TRUE
"347","76acc1f7","59fc19e1","Male","Secret",104,"39943",TRUE
"348","58150178","54756d05","Male",NA,108,"96035",TRUE
"349","bbd04515","a8993fe9","Male","No Dual",80,"69331",TRUE
"350","50bf87b4","fad2f12","Male","Public",107,"96035",TRUE
"351","d671926f","72642d01","Male",NA,102,"69331",TRUE
"352","a1ed5908","c3adf7e4","Male","Public",102,"73899",TRUE
"353","116d25ce","e6a3041c","Male","Secret",108,"11708",TRUE
"354","fdecb58a","ddcc4018","Male","No Dual",102,"39943",TRUE
"355","b06ca098","83f9c589","Male","Secret",90,"11708",TRUE
"356","846c7b4e","6248cd65","Male","No Dual",106,"24632",TRUE
"357","b8fd311a","d0dc151b","Female","No Dual",95,"50588",TRUE
"358","d459648","25862f49","Male","Secret",85,"73899",TRUE
"359","9125151","59e69dd2","Male","Secret",121,"11708",TRUE
"360","2e5cbf70","57b44354","Male","No Dual",90,"74627",TRUE
"361","438623af","9bd62dc1","Male",NA,119,"13873",TRUE
"362","9cd2156e","35f2ddd9","Male","No Dual",105,"74627",TRUE
"363","2a55628f","5bf8f3e","Male","Public",100,"11708",TRUE
"364","8f85cd41","5c8d5672","Male","Secret",108,"24632",TRUE
"365","d946ad28","b5502774","Male","No Dual",99,"50842",TRUE
"366","b3911360","99183c97","Male","Secret",88,"96035",TRUE
"367","38a50ecf","9520d62a","Female",NA,111,"39943",TRUE
"368","2941b59","81dc8b2c","Male",NA,111,"74627",TRUE
"369","9d57f52","e966d6a9","Female","No Dual",96,"96633",TRUE
"370","cca8ab35","7d2e166f","Female",NA,87,"69331",TRUE
"371","867180ce","3cbe350c","Female","No Dual",100,"50842",TRUE
"372","486562b4","680322a0","Male","Secret",96,"74627",TRUE
"373","9ae58de2","9a014ab5","Female",NA,100,"50842",TRUE
"374","e3cecc01","96af889a","Female",NA,111,"75835",FALSE
"375","beb6241b","43b9acb","Female","Secret",106,"20439",TRUE
"376","9181aae6","c31eeec5","Female",NA,83,"75835",TRUE
"377","a48bcb54","9ecfbb07","Female",NA,94,"86119",TRUE
"378","f59c0e0e","c331002b","Female","No Dual",96,"39943",TRUE
"379","a25ac05d","d72548f8","Male","Public",93,"96035",TRUE
"380","dd112b9b","2365e233","Male",NA,94,"75835",TRUE
"381","7a3fa993","cc02f705","Female","Public",102,"54589",TRUE
"382","d2e9b0f","4b5591cd","Female","Secret",102,"75835",TRUE
"383","d571de67","ea991ed7","Female","Secret",98,"24632",TRUE
"384","9c50afac","c5ebaf87","Female","Secret",82,"50842",TRUE
"385","160ce6df","5c7af0cd","Male",NA,107,"13873",TRUE
"386","c5eea895","506ff6ff","Female","Secret",93,"73899",FALSE
"387","f4254342","674575f7","Female","Secret",108,"20398",TRUE
"388","f0e10e6d","c3bb551c","Female","Secret",101,"75835",TRUE
"389","d3a14e06","363ad9c4","Female",NA,116,"76501",FALSE
"390","2d89b521","2f390f23","Male","No Dual",103,"11708",TRUE
"391","32494402","6af1c928","Female","Secret",114,"50842",TRUE
"392","c830e534","5dfa3c17","Male","Secret",104,"13873",TRUE
"393","3f92bd6e","d4b29eec","Male","Public",102,"74627",TRUE
"394","6d3af437","bc7ddbb1","Female","No Dual",117,"20439",TRUE
"395","fcff9da5","ed763863","Male","No Dual",81,"20398",TRUE
"396","dd047b32","5f297f91","Male","No Dual",90,"75835",TRUE
"397","1638a193","27ccd16d","Female","No Dual",98,"13873",TRUE
"398","4df5c743","bdd48550","Female","Secret",97,"20439",TRUE
"399","8bb7edf2","9d084e5c","Female","No Dual",85,"11708",TRUE
"400","39b69cd0","1ee9e580","Female","No Dual",103,"96633",TRUE
"401","26866be4","eaef0a87","Female","No Dual",97,"20439",FALSE
"402","e9d6730d","6d716bdb","Female","No Dual",103,"20439",FALSE
"403","40960c70","c3691a51","Female","No Dual",125,"39943",TRUE
"404","bccd8d80","5d5873b1","Male",NA,95,"96035",TRUE
"405","6d5c26fd","ea153cff","Female","No Dual",107,"39943",FALSE
"406","28bd1499","302ac1a","Female","No Dual",92,"23483",TRUE
"407","300c8e25","b9eea20f","Female","No Dual",109,"24632",TRUE
"408","67ef8bdf","73655a10","Female","No Dual",101,"75835",TRUE
"409","77749fec","5fa134fd","Female","No Dual",126,"74627",TRUE
"410","2469a3a5","7c20ee48","Female","No Dual",100,"69764",TRUE
"411","59ad52aa","aae10383","Female",NA,96,"54589",TRUE
